"tanggal","suhu (celcius)"
"42005","30.31"
"42006","25.3"
"42007","28.28"
"42008","28.28"
"42009","28.28"
"42010","28.28"
"42011","28.28"
"42012","28.28"
"42013","28.28"
"42014","28.28"
"42015","28.28"
"42016","28.6"
"42017","27.98"
"42018","27.24"
"42019","27.93"
"42020","28.95"
"42021","27.35"
"42022","27.81"
"42023","27.79"
"42024","28.18"
"42025","27.89"
"42026","26.91"
"42027","26.13"
"42028","25.18"
"42029","26.92"
"42030","26.47"
"42031","26.49"
"42032","28.02"
"42033","27.79"
"42034","27.22"
"42035","27.82"
"42036","28.12"
"42037","28.42"
"42038","28.3"
"42039","28.21"
"42040","27.08"
"42041","27.33"
"42042","28"
"42043","27.83"
"42044","27.33"
"42045","27.82"
"42046","27.61"
"42047","27.01"
"42048","28.36"
"42049","28.25"
"42050","28.59"
"42051","28.22"
"42052","27.34"
"42053","24.23"
"42054","27.21"
"42055","28.33"
"42056","27.36"
"42057","28.28"
"42058","29.61"
"42059","28.26"
"42060","28.5"
"42061","27.97"
"42062","28.21"
"42063","26.66"
"42064","24.54"
"42065","27.35"
"42066","27.28"
"42067","28.43"
"42068","29.1"
"42069","28.62"
"42070","29.04"
"42071","27.43"
"42072","26.57"
"42073","27.42"
"42074","27"
"42075","26.63"
"42076","27.92"
"42077","26.93"
"42078","26.05"
"42079","27.96"
"42080","28.79"
"42081","28.59"
"42082","27.88"
"42083","27"
"42084","27.91"
"42085","28.21"
"42086","27.26"
"42087","27.79"
"42088","27.3"
"42089","28.7"
"42090","28.55"
"42091","28.77"
"42092","27.29"
"42093","28.22"
"42094","27.62"
"42095","26.01"
"42096","27.5"
"42097","28.67"
"42098","28.74"
"42099","27.65"
"42100","28.76"
"42101","28.33"
"42102","25.56"
"42103","27.71"
"42104","26.86"
"42105","27.3"
"42106","27.56"
"42107","28.31"
"42108","27.43"
"42109","26.88"
"42110","28.13"
"42111","27.52"
"42112","22.78"
"42113","27.29"
"42114","28.35"
"42115","26.83"
"42116","26.79"
"42117","25.55"
"42118","26.09"
"42119","27.92"
"42120","27.82"
"42121","27.06"
"42122","28.07"
"42123","27.63"
"42124","27.17"
"42125","28.15"
"42126","25.52"
"42127","27.21"
"42128","27.73"
"42129","28.17"
"42130","28.73"
"42131","29.14"
"42132","27.44"
"42133","28.58"
"42134","29.06"
"42135","29.45"
"42136","28.03"
"42137","27.93"
"42138","27.13"
"42139","28.22"
"42140","27.42"
"42141","27.98"
"42142","28.8"
"42143","28.5"
"42144","29.02"
"42145","27.83"
"42146","28.33"
"42147","29.09"
"42148","29.92"
"42149","26.85"
"42150","27.26"
"42151","28.62"
"42152","28.19"
"42153","27.67"
"42154","28.83"
"42155","28.4"
"42156","27.01"
"42157","27.06"
"42158","28.28"
"42159","28.28"
"42160","28.21"
"42161","27.32"
"42162","27.38"
"42163","26.29"
"42164","27.17"
"42165","28.28"
"42166","28.28"
"42167","28.28"
"42168","28.09"
"42169","27.06"
"42170","25.01"
"42171","27.44"
"42172","26.4"
"42173","27.28"
"42174","28.2"
"42175","27.86"
"42176","28.79"
"42177","28.69"
"42178","28.78"
"42179","28.38"
"42180","28.41"
"42181","28.59"
"42182","28.61"
"42183","28.2"
"42184","27.71"
"42185","27.72"
"42186","27.77"
"42187","28.01"
"42188","27.59"
"42189","27.37"
"42190","27.73"
"42191","27.42"
"42192","27.82"
"42193","27.01"
"42194","27.82"
"42195","28.52"
"42196","28.68"
"42197","27.47"
"42198","26.29"
"42199","28.44"
"42200","29.73"
"42201","28.28"
"42202","28.28"
"42203","28.28"
"42204","28.28"
"42205","28.28"
"42206","28.28"
"42207","28.28"
"42208","28.28"
"42209","29.74"
"42210","27.3"
"42211","26.47"
"42212","27.32"
"42213","28.16"
"42214","28.01"
"42215","27.7"
"42216","27.69"
"42217","27.99"
"42218","26.33"
"42219","26.03"
"42220","27.25"
"42221","27.62"
"42222","27.26"
"42223","27.36"
"42224","27.27"
"42225","27.69"
"42226","27.75"
"42227","26.7"
"42228","27.49"
"42229","27.79"
"42230","27.44"
"42231","28.18"
"42232","26.02"
"42233","27.79"
"42234","28.04"
"42235","29.02"
"42236","28.08"
"42237","25.74"
"42238","28.28"
"42239","28.28"
"42240","28.28"
"42241","29.38"
"42242","27.28"
"42243","27.94"
"42244","28.26"
"42245","28.33"
"42246","25.91"
"42247","25.87"
"42248","25.87"
"42249","27.56"
"42250","28.75"
"42251","27.19"
"42252","27.08"
"42253","28.05"
"42254","28.05"
"42255","29.15"
"42256","26.93"
"42257","24.42"
"42258","27.93"
"42259","27.1"
"42260","29.41"
"42261","25.01"
"42262","24.5"
"42263","25.81"
"42264","26.96"
"42265","28.35"
"42266","27.96"
"42267","27.73"
"42268","27.23"
"42269","26.27"
"42270","25.57"
"42271","25.8"
"42272","27.37"
"42273","27.25"
"42274","25.33"
"42275","25.58"
"42276","27.05"
"42277","28.01"
"42278","26.67"
"42279","25.45"
"42280","26.87"
"42281","27.64"
"42282","27"
"42283","27.33"
"42284","26.17"
"42285","27.43"
"42286","26.01"
"42287","27.5"
"42288","27.78"
"42289","27.09"
"42290","27.91"
"42291","27.95"
"42292","27.92"
"42293","28.22"
"42294","28.01"
"42295","28.22"
"42296","28.06"
"42297","27.92"
"42298","27.94"
"42299","28.28"
"42300","28.28"
"42301","28.28"
"42302","28.28"
"42303","28.28"
"42304","28.28"
"42305","28.28"
"42306","28.28"
"42307","28.28"
"42308","28.28"
"42309","28.28"
"42310","28.28"
"42311","28.28"
"42312","28.28"
"42313","28.28"
"42314","28.28"
"42315","28.28"
"42316","28.28"
"42317","28.28"
"42318","28.28"
"42319","28.28"
"42320","28.28"
"42321","28.28"
"42322","27.46"
"42323","26.18"
"42324","25.51"
"42325","27.54"
"42326","28.01"
"42327","27.19"
"42328","26.9"
"42329","26.66"
"42330","26.72"
"42331","27.42"
"42332","26.94"
"42333","27"
"42334","27.58"
"42335","27.18"
"42336","26.84"
"42337","26.08"
"42338","26.24"
"42339","25.91"
"42340","26.77"
"42341","26.9"
"42342","27.07"
"42343","26.62"
"42344","27.61"
"42345","27.62"
"42346","26.66"
"42347","27.4"
"42348","27.56"
"42349","26.08"
"42350","26.62"
"42351","24.87"
"42352","26.54"
"42353","26.22"
"42354","26.4"
"42355","27.5"
"42356","28.16"
"42357","27.89"
"42358","27.77"
"42359","27.82"
"42360","24.54"
"42361","27.43"
"42362","27.84"
"42363","28.4"
"42364","28.4"
"42365","28.09"
"42366","28.18"
"42367","27.47"
"42368","26.92"
"42369","29.02"
"42370","28.17"
"42371","28.32"
"42372","28.91"
"42373","28.65"
"42374","28.55"
"42375","28.63"
"42376","27.28"
"42377","27.89"
"42378","27.87"
"42379","28.53"
"42380","28.56"
"42381","27.77"
"42382","29.78"
"42383","27.42"
"42384","26.78"
"42385","27.94"
"42386","27.62"
"42387","27.55"
"42388","24.9"
"42389","27.83"
"42390","28.84"
"42391","28.28"
"42392","28.28"
"42393","28.28"
"42394","28.28"
"42395","28.28"
"42396","28.28"
"42397","28.28"
"42398","28.28"
"42399","28.28"
"42400","28.28"
"42401","28.28"
"42402","28.28"
"42403","28.28"
"42404","28.28"
"42405","28.28"
"42406","28.28"
"42407","28.28"
"42408","28.28"
"42409","28.28"
"42410","28.28"
"42411","28.28"
"42412","28.28"
"42413","28.28"
"42414","28.28"
"42415","28.28"
"42416","30.08"
"42417","29.88"
"42418","28.6"
"42419","27.7"
"42420","28.57"
"42421","28.98"
"42422","28.83"
"42423","27.55"
"42424","27.52"
"42425","28.94"
"42426","29.43"
"42427","29.37"
"42428","28.43"
"42429","27.77"
"42430","28.17"
"42431","29.22"
"42432","29.6"
"42433","28.57"
"42434","29.02"
"42435","28.28"
"42436","28.28"
"42437","28.28"
"42438","28.28"
"42439","28.28"
"42440","28.28"
"42441","28.28"
"42442","28.28"
"42443","28.28"
"42444","28.28"
"42445","28.28"
"42446","28.28"
"42447","28.28"
"42448","28.28"
"42449","28.28"
"42450","28.28"
"42451","28.28"
"42452","28.28"
"42453","28.28"
"42454","28.28"
"42455","28.28"
"42456","28.28"
"42457","28.28"
"42458","28.28"
"42459","28.28"
"42460","28.28"
"42461","28.28"
"42462","28.28"
"42463","28.28"
"42464","28.28"
"42465","28.28"
"42466","28.28"
"42467","28.28"
"42468","28.28"
"42469","28.28"
"42470","28.28"
"42471","28.28"
"42472","28.28"
"42473","28.28"
"42474","28.28"
"42475","28.28"
"42476","28.28"
"42477","28.28"
"42478","28.28"
"42479","28.28"
"42480","28.28"
"42481","28.28"
"42482","28.28"
"42483","28.28"
"42484","28.28"
"42485","30.88"
"42486","30.21"
"42487","30.28"
"42488","30.21"
"42489","30.39"
"42490","30.87"
"42491","30.78"
"42492","30.2"
"42493","30.32"
"42494","28.71"
"42495","29.93"
"42496","28.28"
"42497","28.28"
"42498","28.28"
"42499","28.28"
"42500","28.28"
"42501","27.7"
"42502","29.67"
"42503","28.62"
"42504","28.88"
"42505","29.1"
"42506","29.27"
"42507","30.12"
"42508","31.06"
"42509","30.69"
"42510","30.97"
"42511","29.79"
"42512","30.09"
"42513","30.73"
"42514","29.34"
"42515","29.57"
"42516","29"
"42517","34.05"
"42518","28.09"
"42519","29.44"
"42520","30.47"
"42521","30.88"
"42522","30.72"
"42523","30.57"
"42524","30.59"
"42525","29.87"
"42526","30.43"
"42527","31.48"
"42528","30.14"
"42529","29.85"
"42530","31.12"
"42531","30.64"
"42532","28.79"
"42533","29.41"
"42534","28.48"
"42535","29.5"
"42536","29.58"
"42537","28.89"
"42538","26.69"
"42539","29.46"
"42540","29.81"
"42541","30.09"
"42542","28.61"
"42543","28.61"
"42544","29.27"
"42545","28.17"
"42546","29.12"
"42547","29.2"
"42548","29.5"
"42549","29.53"
"42550","29.87"
"42551","29.92"
"42552","29.62"
"42553","29.97"
"42554","29.82"
"42555","29.93"
"42556","30.05"
"42557","29.3"
"42558","29.2"
"42559","29.13"
"42560","30.13"
"42561","30.65"
"42562","27.56"
"42563","31.04"
"42564","29.2"
"42565","28.09"
"42566","28.68"
"42567","30.35"
"42568","28.35"
"42569","27.96"
"42570","26.7"
"42571","28.22"
"42572","30.57"
